Subject,RF_Baseline,SVM_Baseline,XGB_Tuned,FINAL_ENSEMBLE
S10,0.41935483870967744,0.5483870967741935,0.45161290322580644,0.41935483870967744
S11,0.9,0.9,0.9,0.9
S13,0.7,0.7333333333333333,0.7333333333333333,0.7666666666666667
S14,0.9,1.0,0.8666666666666667,0.9333333333333333
S15,0.9,0.8333333333333334,0.9333333333333333,0.9333333333333333
S16,1.0,1.0,1.0,1.0
S17,0.8709677419354839,0.9032258064516129,0.8709677419354839,0.8709677419354839
S2,0.6206896551724138,0.5862068965517241,0.6206896551724138,0.6206896551724138
S3,0.896551724137931,0.8275862068965517,0.7931034482758621,0.8620689655172413
S4,0.8620689655172413,0.8620689655172413,0.8620689655172413,0.8620689655172413
S5,0.6896551724137931,0.6551724137931034,0.6896551724137931,0.6896551724137931
S6,0.8620689655172413,0.9310344827586207,0.896551724137931,0.9310344827586207
S7,0.896551724137931,0.7931034482758621,0.9310344827586207,0.8620689655172413
S8,0.9,0.9333333333333333,0.9666666666666667,0.9666666666666667
S9,0.7931034482758621,0.7241379310344828,0.8620689655172413,0.8275862068965517
MEAN,0.8140674823878384,0.8153948832035595,0.8251835372636264,0.8296996662958844
